key,translation,options,desc_en,desc_vi,chapter,status,notes
the wall street journal,The Wall Street Journal,,,,12,confirmed,"Tên riêng, không dịch"
united way,United Way,,,,12,confirmed,"Tên riêng, không dịch"
walmart,Walmart,,,,12,confirmed,"Tên riêng, không dịch"
wholesalers,nhà bán buôn,nhà bán buôn / nhà bán sỉ,,,12,confirmed,
aetna,Aetna,,,,13,confirmed,"Tên riêng, không dịch"
alibaba,Alibaba,,,,13,confirmed,"Tên riêng, không dịch"
application service providers (asp),nhà cung cấp dịch vụ ứng dụng (ASP),nhà cung cấp ASP,A company that provides computer-based services to customers over a network,Công ty cung cấp các dịch vụ ứng dụng chạy trên máy tính cho khách hàng từ xa qua mạng,13,confirmed,
at&amp;t,AT&amp;T,,,,13,confirmed,"Tên riêng, không dịch"
audi,Audi,,,,13,confirmed,"Tên riêng, không dịch"
batch processing,xử lý theo lô,xử lý hàng loạt,Executing a series of non-interactive jobs all at one time,Phương thức xử lý dữ liệu trong đó các tác vụ được thu thập và thực hiện cùng một lúc thành từng nhóm thay vì xử lý ngay lập tức,13,confirmed,
bristol-meyers squibb,Bristol-Meyers Squibb,,,,13,confirmed,"Tên riêng, không dịch"
bristol-myers squibb,Bristol-Myers Squibb,,,,13,confirmed,"Tên riêng, không dịch"
broadcom,Broadcom,,,,13,confirmed,"Tên riêng, không dịch"
chief information officer (cio),Giám đốc thông tin (CIO),Giám đốc công nghệ thông tin,The executive in charge of information technology strategy and systems,Lãnh đạo cấp cao chịu trách nhiệm quản lý chiến lược và hệ thống công nghệ thông tin trong tổ chức,13,confirmed,
cloud computing,điện toán đám mây,dịch vụ đám mây,Delivery of computing services over the internet,Cung cấp các tài nguyên và dịch vụ điện toán thông qua mạng Internet thay vì lưu trữ cục bộ,13,confirmed,
computer network,mạng máy tính,hệ thống mạng,A group of computers and devices connected to share resources and data,Một nhóm máy tính và thiết bị được kết nối với nhau nhằm chia sẻ tài nguyên và dữ liệu,13,confirmed,
computer virus,vi-rút máy tính,virus máy tính,"A malicious software program designed to replicate and spread, often causing damage",Chương trình phần mềm độc hại được thiết kế để tự sao chép và lây lan nhằm gây hại cho hệ thống máy tính,13,confirmed,
daimlerchrysler,DaimlerChrysler,,,,13,confirmed,"Tên riêng, không dịch"
data marts,kho dữ liệu bộ phận,data mart / kho dữ liệu nhỏ,A subset of a data warehouse focused on a specific business unit or department,"Một phân hệ kho dữ liệu nhỏ hơn, tập trung vào nhu cầu sử dụng của một bộ phận hoặc phòng ban cụ thể",13,confirmed,
data mining,khai phá dữ liệu,khai thác dữ liệu,The process of analyzing large datasets to identify patterns and relationships,"Quá trình phân tích các tập dữ liệu lớn để tìm kiếm các xu hướng, quy luật và mối quan hệ ẩn",13,confirmed,
data warehouse,kho dữ liệu,data warehouse,"A large, centralized repository of data consolidated from multiple sources for analysis","Kho dữ liệu tập trung, quy mô lớn thu thập từ nhiều nguồn để phân tích và hỗ trợ ra quyết định",13,confirmed,
database,cơ sở dữ liệu,database,An organized collection of structured data stored electronically,Tập hợp các dữ liệu có cấu trúc được sắp xếp và lưu trữ dưới dạng điện tử để dễ dàng truy cập và quản lý,13,confirmed,
decision support system (dss),hệ thống hỗ trợ ra quyết định (DSS),DSS,An interactive information system that helps managers make decisions by analyzing data,Hệ thống thông tin tương tác giúp các nhà quản lý đưa ra quyết định bằng cách phân tích dữ liệu và các mô hình,13,confirmed,
enron,Enron,,,,13,confirmed,"Tên riêng, không dịch"
enterprise portal,cổng thông tin doanh nghiệp,cổng thông tin tích hợp,"A gateway that provides employees, partners, and customers with single-point access to company information and applications","Cổng giao diện web cung cấp điểm truy cập tập trung duy nhất cho nhân viên, đối tác và khách hàng vào tài nguyên doanh nghiệp",13,confirmed,
executive information system (eis),hệ thống thông tin điều hành (EIS),EIS,An information system designed to provide senior executives with easy access to internal and external information relevant to strategic goals,Hệ thống thông tin hỗ trợ các nhà quản lý cấp cao truy cập nhanh các thông tin chiến lược cả trong lẫn ngoài doanh nghiệp,13,confirmed,
expert system,hệ chuyên gia,hệ thống chuyên gia,A computer program that mimics the decision-making ability of a human expert,Chương trình máy tính mô phỏng khả năng giải quyết vấn đề và ra quyết định của chuyên gia là con người,13,confirmed,
federal computer fraud and abuse act,Federal Computer Fraud and Abuse Act,,,,13,confirmed,"Tên riêng, không dịch"
fedex,FedEx,,,,13,confirmed,"Tên riêng, không dịch"
friedman,Friedman,,,,13,confirmed,"Tên riêng, không dịch"
hewlett-packard enterprise,Hewlett-Packard Enterprise,,,,13,confirmed,"Tên riêng, không dịch"
idc,IDC,,,,13,confirmed,"Tên riêng, không dịch"
information technology (it),công nghệ thông tin (IT),IT,"The use of computers, storage, networking, and other physical devices to manage data","Việc sử dụng phần cứng, phần mềm, mạng và thiết bị phụ trợ để xử lý, lưu trữ và truyền đạt thông tin",13,confirmed,
intranets,mạng nội bộ,mạng intranet,Private networks accessible only to an organization's staff,Mạng lưới kết nối riêng tư chỉ cho phép nhân viên thuộc một tổ chức truy cập,13,confirmed,
knowledge management (km),quản trị tri thức (KM),quản lý tri thức,"The process of creating, sharing, using, and managing the knowledge and information of an organization","Quy trình hệ thống hóa việc tạo lập, lưu giữ, chia sẻ và ứng dụng tài sản trí tuệ trong tổ chức",13,confirmed,
local area network (lan),mạng cục bộ (LAN),mạng LAN,"A computer network that interconnects computers within a limited area such as a home, school, or office","Mạng máy tính kết nối các thiết bị trong phạm vi địa lý nhỏ như văn phòng, nhà ở hoặc trường học",13,confirmed,
ma,Ma,,,,13,confirmed,"Tên riêng, không dịch"
managed service providers (msp),nhà cung cấp dịch vụ được quản lý (MSP),nhà cung cấp dịch vụ quản trị,A company that remotely manages a customer's IT infrastructure and/or end-user systems,Công ty đảm nhận việc quản trị từ xa hạ tầng công nghệ thông tin và hệ thống của khách hàng,13,confirmed,
management information systems,hệ thống thông tin quản lý,MIS,"Systems used to collect, process, store, and disseminate data to support business decision-making","Hệ thống hỗ trợ thu thập, lưu trữ, xử lý và phân phối thông tin phục vụ công tác quản lý và ra quyết định",13,confirmed,
management support systems (mss),hệ thống hỗ trợ quản lý (MSS),MSS,"Information systems designed to support managerial decision-making, including DSS, EIS, and expert systems","Nhóm hệ thống thông tin chuyên hỗ trợ quản lý ra quyết định, bao gồm DSS, EIS và hệ chuyên gia",13,confirmed,
merck,Merck,,,,13,confirmed,"Tên riêng, không dịch"
online,trực tuyến,online,Connected to a computer network or the internet,Trạng thái được kết nối trực tiếp với mạng máy tính hoặc mạng Internet,13,confirmed,
oracle,Oracle,,,,13,confirmed,"Tên riêng, không dịch"
processing,xử lý dữ liệu,xử lý,Manipulation of data by a computer to produce meaningful information,"Các hoạt động tính toán, sắp xếp, biến đổi dữ liệu thô của máy tính để thành thông tin hữu ích",13,confirmed,
real-time,thời gian thực,cập nhật tức thời,Relating to systems that update information at the same rate as they receive data,Xử lý và phản hồi thông tin gần như ngay lập tức cùng tốc độ với dữ liệu được nhận,13,confirmed,
saab,Saab,,,,13,confirmed,"Tên riêng, không dịch"
salesforce,Salesforce,,,,13,confirmed,"Tên riêng, không dịch"
sun microsystems,Sun Microsystems,,,,13,confirmed,"Tên riêng, không dịch"
the world is flat,The World Is Flat,,,,13,confirmed,"Tên riêng, không dịch"
transaction processing system (tps),hệ thống xử lý giao dịch (TPS),TPS,"An information system that collects, stores, modifies, and retrieves the transactions of an organization","Hệ thống thông tin thu thập, ghi nhận, xử lý và lưu trữ thông tin về các giao dịch kinh doanh hàng ngày của tổ chức",13,confirmed,
union pacific,Union Pacific,,,,13,confirmed,"Tên riêng, không dịch"
ups,UPS,,,,13,confirmed,"Tên riêng, không dịch"
verizon,Verizon,,,,13,confirmed,"Tên riêng, không dịch"
veterans administration hospital,Veterans Administration Hospital,,,,13,confirmed,"Tên riêng, không dịch"
virtual private networks,mạng riêng ảo,VPN,"A network that encrypts a connection, allowing secure remote access over the internet","Công nghệ tạo kết nối mạng mã hóa an toàn, cho phép truy cập từ xa an toàn qua Internet",13,confirmed,
volkswagen,Volkswagen,,,,13,confirmed,"Tên riêng, không dịch"
wide area network (wan),mạng diện rộng (WAN),mạng WAN,A telecommunications network that extends over a large geographical area,Mạng viễn thông kết nối các mạng nhỏ hơn trên phạm vi địa lý rộng lớn như một quốc gia hoặc toàn cầu,13,confirmed,
aig,AIG,,,15,confirmed,"Tên riêng, không dịch"
aite group,Aite Group,,,15,confirmed,"Tên riêng, không dịch"
bank charter,giấy phép hoạt động ngân hàng,,,15,confirmed,
bear stearns,Bear Stearns,,,15,confirmed,"Tên riêng, không dịch"
brexit,Brexit,,,15,confirmed,"Tên riêng, không dịch"
citibank,Citibank,,,15,confirmed,"Tên riêng, không dịch"
commercial bank,ngân hàng thương mại,,,15,confirmed,
commercial banks,ngân hàng thương mại,,,15,confirmed,
credit union,nghiệp đoàn tín dụng,,,15,confirmed,
credit unions,nghiệp đoàn tín dụng,,,15,confirmed,
currency,tiền mặt,,,15,confirmed,
demand deposits,tiền gửi không kỳ hạn,,,15,confirmed,
discount rate,lãi suất chiết khấu,,,15,confirmed,
dodd-frank wall street reform and consumer protection act,Đạo luật Cải cách Phố Wall và Bảo vệ Người tiêu dùng Dodd-Frank,,,15,confirmed,
european union,Liên minh Châu Âu,,,15,confirmed,
federal deposit insurance corporation (fdic),Tổng công ty Bảo hiểm Tiền gửi Liên bang (FDIC),,,15,confirmed,
federal open market committee,Ủy ban Thị trường Mở Liên bang (FOMC),,,15,confirmed,
federal reserve,Cục Dự trữ Liên bang (Fed),,,15,confirmed,
federal reserve board,Hội đồng Thống đốc Cục Dự trữ Liên bang,,,15,confirmed,
federal reserve system,Hệ thống Cục Dự trữ Liên bang,,,15,confirmed,
financial intermediation,trung gian tài chính,,,15,confirmed,
international monetary fund,Quỹ Tiền tệ Quốc tế (IMF),,,15,confirmed,
jp morgan,JP Morgan,,,15,confirmed,"Tên riêng, không dịch"
lehman brothers,Lehman Brothers,,,15,confirmed,"Tên riêng, không dịch"
m1,M1,,,15,confirmed,
m2,M2,,,15,confirmed,
money,tiền,,,15,confirmed,
open market operations,nghiệp vụ thị trường mở,,,15,confirmed,
paypal,PayPal,,,15,confirmed,"Tên riêng, không dịch"
pension funds,quỹ hưu trí,,,15,confirmed,
reserve requirement,yêu cầu dự trữ bắt buộc,,,15,confirmed,
selective credit controls,kiểm soát tín dụng chọn lọc,,,15,confirmed,
thrift institution,tổ chức tiết kiệm,,,15,confirmed,
thrift institutions,tổ chức tiết kiệm,,,15,confirmed,
time deposits,tiền gửi có kỳ hạn,,,15,confirmed,
treasury’s bureau of engraving and printing,Cục Khắc và In ấn thuộc Bộ Tài chính Hoa Kỳ,,,15,confirmed,
account payable,khoản phải trả,nợ phải trả người bán,"""""","""""",16,confirmed,""""""
accounts receivable,khoản phải thu,nợ phải thu khách hàng,"""""","""""",16,confirmed,""""""
altria group,"""Altria Group""","""""","""""","""""",16,confirmed,"""Tên riêng"
american stock exchange,"""American Stock Exchange""","""""","""""","""""",16,confirmed,"""Tên riêng"
bank of america merrill lynch,"""Bank of America Merrill Lynch""","""""","""""","""""",16,confirmed,"""Tên riêng"
bloomberg,"""Bloomberg""","""""","""""","""""",16,confirmed,"""Tên riêng"
blue apron,"""Blue Apron""","""""","""""","""""",16,confirmed,"""Tên riêng"
bond ratings,xếp hạng trái phiếu,đánh giá tín nhiệm trái phiếu,"""""","""""",16,confirmed,""""""
bonds,trái phiếu,,"""""","""""",16,confirmed,""""""
broker market,thị trường môi giới,,"""""","""""",16,confirmed,""""""
capital budgeting,lập ngân sách vốn,hoạch định ngân sách vốn,"""""","""""",16,confirmed,""""""
capital expenditures,chi phí vốn,chi đầu tư phát triển,"""""","""""",16,confirmed,""""""
cargill,"""Cargill""","""""","""""","""""",16,confirmed,"""Tên riêng"
cash flows,dòng tiền,,"""""","""""",16,confirmed,""""""
cash management,quản lý tiền mặt,,"""""","""""",16,confirmed,""""""
charles schwab,"""Charles Schwab""","""""","""""","""""",16,confirmed,"""Tên riêng"
chevron,"""Chevron""","""""","""""","""""",16,confirmed,"""Tên riêng"
circuit breakers,bộ ngắt mạch thị trường,cơ chế ngắt tự động,"""""","""""",16,confirmed,""""""
citigroup,"""Citigroup""","""""","""""","""""",16,confirmed,"""Tên riêng"
comcast,"""Comcast""","""""","""""","""""",16,confirmed,"""Tên riêng"
commercial paper,thương phiếu,kỳ phiếu thương mại,"""""","""""",16,confirmed,""""""
common stock,cổ phiếu phổ thông,,"""""","""""",16,confirmed,""""""
corning,"""Corning""","""""","""""","""""",16,confirmed,"""Tên riêng"
dealer markets,thị trường tự doanh,thị trường đại lý,"""""","""""",16,confirmed,""""""
dividends,cổ tức,,"""""","""""",16,confirmed,""""""
e*trade,"""E*Trade""","""""","""""","""""",16,confirmed,"""Tên riêng"
electronic communications networks (ecns),mạng thông tin điện tử (ECN),mạng giao dịch điện tử,"""""","""""",16,confirmed,""""""
exchange-traded fund (etf),quỹ hoán đổi danh mục (ETF),,"""""","""""",16,confirmed,""""""
exxonmobil,"""ExxonMobil""","""""","""""","""""",16,confirmed,"""Tên riêng"
factoring,bao thanh toán,,"""""","""""",16,confirmed,""""""
fidelity,"""Fidelity""","""""","""""","""""",16,confirmed,"""Tên riêng"
financial management,quản lý tài chính,,"""""","""""",16,confirmed,""""""
financial risk,rủi ro tài chính,,"""""","""""",16,confirmed,""""""
futures contracts,hợp đồng tương lai,,"""""","""""",16,confirmed,""""""
goldman sachs,"""Goldman Sachs""","""""","""""","""""",16,confirmed,"""Tên riêng"
insider trading,giao dịch nội gián,,"""""","""""",16,confirmed,""""""
institutional investors,nhà đầu tư tổ chức,,"""""","""""",16,confirmed,""""""
interest,lãi suất,tiền lãi,"""""","""""",16,confirmed,""""""
investment bankers,ngân hàng đầu tư,,"""""","""""",16,confirmed,""""""
jetblue,"""JetBlue""","""""","""""","""""",16,confirmed,"""Tên riêng"
line of credit,hạn mức tín dụng,,"""""","""""",16,confirmed,""""""
marketable securities,chứng khoán thanh khoản,chứng khoán dễ bán,"""""","""""",16,confirmed,""""""
morgan stanley,"""Morgan Stanley""","""""","""""","""""",16,confirmed,"""Tên riêng"
mortgage loan,khoản vay thế chấp,,"""""","""""",16,confirmed,""""""
municipal bonds,trái phiếu đô thị,trái phiếu chính quyền địa phương,"""""","""""",16,confirmed,""""""
mutual fund,quỹ tương hỗ,quỹ đầu tư chung,"""""","""""",16,confirmed,""""""
national association of securities dealers automated quotation system,Hệ thống báo giá tự động của Hiệp hội quốc gia các đại lý chứng khoán (NASDAQ),NASDAQ,"""""","""""",16,confirmed,""""""
options,quyền chọn,,"""""","""""",16,confirmed,""""""
over-the-counter (otc) markets,thị trường phi tập trung (OTC),,"""""","""""",16,confirmed,""""""
preferred stock,cổ phiếu ưu đãi,,"""""","""""",16,confirmed,""""""
primary market,thị trường sơ cấp,thị trường cấp một,"""""","""""",16,confirmed,""""""
principal,nợ gốc,vốn gốc,"""""","""""",16,confirmed,""""""
publix super markets,"""Publix Super Markets""","""""","""""","""""",16,confirmed,"""Tên riêng"
qualcomm,"""Qualcomm""","""""","""""","""""",16,confirmed,"""Tên riêng"
retained earnings,lợi nhuận giữ lại,,"""""","""""",16,confirmed,""""""
return,lợi nhuận,tỷ suất sinh lời,"""""","""""",16,confirmed,""""""
revolving credit agreement,thỏa thuận tín dụng tuần hoàn,,"""""","""""",16,confirmed,""""""
risk-return trade-off,sự đánh đổi giữa rủi ro và lợi nhuận,,"""""","""""",16,confirmed,""""""
sc johnson,"""SC Johnson""","""""","""""","""""",16,confirmed,"""Tên riêng"
secondary market,thị trường thứ cấp,thị trường cấp hai,"""""","""""",16,confirmed,""""""
secured loans,khoản vay có bảo đảm,khoản vay bảo đảm bằng tài sản,"""""","""""",16,confirmed,""""""
securities,chứng khoán,,"""""","""""",16,confirmed,""""""
starbucks,"""Starbucks""","""""","""""","""""",16,confirmed,"""Tên riêng"
stock dividends,cổ tức bằng cổ phiếu,,"""""","""""",16,confirmed,""""""
stockbroker,nhà môi giới chứng khoán,,"""""","""""",16,confirmed,""""""
td ameritrade,"""TD Ameritrade""","""""","""""","""""",16,confirmed,"""Tên riêng"
term loan,khoản vay có thời hạn,vay trung và dài hạn,"""""","""""",16,confirmed,""""""
trade credit,tín dụng thương mại,,"""""","""""",16,confirmed,""""""
underwriting,bảo lãnh phát hành,,"""""","""""",16,confirmed,""""""
unsecured loans,khoản vay không có bảo đảm,khoản vay tín chấp,"""""","""""",16,confirmed,""""""
u.s. department of labor,Bộ Lao động Hoa Kỳ,,,"",17,confirmed,"Tên riêng"
