STT,Thuật ngữ Tiếng Anh,Dịch Tiếng Việt,Giải thích,Cột 1
476,access discrimination,Phân biệt đối xử tiếp cận,Rào cản ngăn cản nhóm thiểu số tiếp cận cơ hội tuyển dụng và thăng tiến,
477,treatment discrimination,Phân biệt đối xử đãi ngộ,Đối xử bất bình đẳng về lương thưởng và điều kiện làm việc,
478,managing diversity,Quản trị sự đa dạng,Các chính sách nhằm tối ưu hóa lợi ích và giảm thiểu xung đột từ sự đa dạng,
479,social identity theory,Lý thuyết bản dạng xã hội,Lý thuyết cho rằng cá nhân phân loại bản thân vào các nhóm xã hội,
480,similarity-attraction paradigm,Mô hình tương đồng - thu hút,Xu hướng con người bị thu hút bởi những người có đặc điểm giống mình,
481,cognitive diversity hypothesis,Giả thuyết đa dạng nhận thức,Quan điểm cho rằng sự đa dạng góc nhìn giúp nâng cao chất lượng quyết định,
482,strictness error,Lỗi quá khắt khe,Lỗi đánh giá cho điểm thấp hơn mức thực tế của nhân viên,
483,work group,Nhóm làm việc,Tập hợp các cá nhân tương tác để chia sẻ thông tin và ra quyết định,
484,group norms,Chuẩn mực nhóm,Các quy tắc và kỳ vọng chung điều chỉnh hành vi của các thành viên,
485,group dynamics,Động lực học nhóm,Các lực lượng tâm lý xã hội vận hành và tương tác trong nhóm,
486,work team,Đội làm việc,Tập hợp các cá nhân có kỹ năng bổ sung phối hợp cùng hướng tới mục tiêu chung,
487,cross-functional teams,Đội liên chức năng,Đội gồm các thành viên từ các chuyên môn hoặc phòng ban khác nhau,
488,self-managed teams,Đội tự quản,Đội làm việc tự chịu trách nhiệm quản lý và vận hành công việc,
489,virtual teams,Đội ảo / Đội từ xa,Đội sử dụng công nghệ viễn thông để hợp tác xuyên khoảng cách địa lý,
490,team building,Xây dựng đội ngũ,Các hoạt động nâng cao sự tương tác và hiệu suất làm việc nhóm,
491,managerial communication,Giao tiếp quản trị,Quy trình chia sẻ và trao đổi thông tin trong điều hành tổ chức,
492,feedback loop,Vòng phản hồi,Phản ứng của người nhận giúp người gửi đánh giá mức độ thấu hiểu,
493,scientific management,Quản trị theo khoa học,Lý thuyết của Frederick Taylor nhằm tối ưu hóa năng suất lao động,
494,human relations movement,Phong trào Quan hệ con người,Trường phái nhấn mạnh yếu tố tâm lý xã hội và nhu cầu của người lao động,
495,Hawthorne studies,Các nghiên cứu Hawthorne,Loạt nghiên cứu lịch sử phát hiện ra tác động của sự quan tâm đến năng suất,
