key,translation,options,desc_en,desc_vi,chapter,status,notes,source,frequency,confidence
Stratified Sampling,Chọn mẫu phân tầng,,a method for selecting a random sample used to ensure that subgroups of the population are represented adequately; divide the population into groups (strata). Use simple random sampling to identify a proportionate number of individuals from each stratum.,một phương pháp chọn mẫu ngẫu nhiên được sử dụng để đảm bảo các nhóm nhỏ của quần thể được đại diện đầy đủ; chia quần thể thành các nhóm (tầng). Sử dụng chọn mẫu ngẫu nhiên đơn giản để xác định một số lượng cá nhân tương ứng từ mỗi tầng.,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Student's t-distribution,Phân phối t của Student,,,,8;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,2,0.75
Systematic Sampling,Chọn mẫu hệ thống,,"a method for selecting a random sample; list the members of the population. Use simple random sampling to select a starting point in the population. Let k = (number of individuals in the population)/(number of individuals needed in the sample). Choose every kth individual in the list starting with the one that was randomly selected. If necessary, return to the beginning of the population list to complete your sample.","Một phương pháp chọn mẫu ngẫu nhiên: liệt kê các phần tử của tổng thể. Sử dụng chọn mẫu ngẫu nhiên đơn giản để chọn một điểm bắt đầu trong tổng thể. Đặt k = (số cá thể trong tổng thể)/(số cá thể cần có trong mẫu). Chọn cứ mỗi cá thể thứ k trong danh sách, bắt đầu từ cá thể đã được chọn ngẫu nhiên. Nếu cần, quay lại đầu danh sách tổng thể để hoàn thành mẫu của bạn.",1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
The Law of Large Numbers,Luật số lớn,,"As the number of trials in a probability experiment increases, the difference between the theoretical probability of an event and the relative frequency probability approaches zero.","Khi số phép thử trong một thí nghiệm xác suất tăng lên, sự khác biệt giữa xác suất lý thuyết của một biến cố và xác suất tần suất tương đối tiến về 0.",4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
Variable (Random Variable),Biến (Biến ngẫu nhiên),,"a characteristic of interest in a population being studied. Common notation for variables are upper-case Latin letters X , Y , Z ,... Common notation for a specific value from the domain (set of all possible values of a variable) are lower-case Latin letters x , y , z ,.... For example, if X is the number of children in a family, then x represents a specific integer 0, 1, 2, 3, .... Variables in statistics differ from variables in intermediate algebra in the two following ways. The domain of the","Một đặc trưng được quan tâm trong một tổng thể đang được nghiên cứu. Ký hiệu phổ biến cho các biến là các chữ cái Latin in hoa X, Y, Z,... Ký hiệu phổ biến cho một giá trị cụ thể từ miền xác định (tập hợp tất cả các giá trị có thể có của một biến) là các chữ cái Latin viết thường x, y, z,.... Ví dụ, nếu X là số con trong một gia đình, thì x biểu thị một số nguyên cụ thể 0, 1, 2, 3, .... Các biến trong thống kê khác với các biến trong đại số trung cấp ở hai điểm sau. Miền xác định của",10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
z-score,Điểm z,,"the linear transformation of the form z = ; if this transformation is applied to any normal distribution X ~ N ( μ , σ ) the result is the standard normal distribution Z ~ N (0,1). If this transformation is applied to any specific value x of the RV with mean μ and standard deviation σ , the result is called the z -score of x . The z -score allows us to compare data that are normally distributed but scaled differently.","Phép biến đổi tuyến tính có dạng z = ; nếu phép biến đổi này được áp dụng cho bất kỳ phân phối chuẩn nào X ~ N ( μ , σ ) thì kết quả là phân phối chuẩn tắc Z ~ N (0,1). Nếu phép biến đổi này được áp dụng cho bất kỳ giá trị cụ thể x nào của RV có trung bình μ và độ lệch chuẩn σ , thì kết quả được gọi là điểm z của x. Điểm z cho phép chúng ta so sánh dữ liệu được phân phối chuẩn nhưng có thang đo khác nhau.",6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt,2,0.92
"""AND"" Event","Biến cố ""VÀ""",,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
"""OR"" Event","Biến cố ""HOẶC""",,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
absolute value of a residual,Giá trị tuyệt đối của phần dư,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
alternative hypothesis,Giả thuyết đối,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Area to the left,Diện tích bên trái,,,,6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Area to the right,Diện tích bên phải,,,,6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
assumption,Giả định,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
balanced design,Thiết kế cân bằng,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
bar graph,Biểu đồ cột,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Bernoulli Trial,Phép thử Bernoulli,,,,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
bivariate,Hai biến,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Box plots,Biểu đồ hộp,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
box-and-whisker plots,Biểu đồ hộp và râu,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
box-whisker plots,Biểu đồ hộp-râu,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
categorical data,Dữ liệu định tính,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Categorical variables,Biến định tính,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
central limit theorem for means,Định lý giới hạn trung tâm cho trung bình,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
central limit theorem for sums,Định lý giới hạn trung tâm cho tổng,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
chi-square distribution,Phân phối chi-bình phương,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
cluster sample,Chọn mẫu theo cụm,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
coefficient of determination,Hệ số xác định,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Cohen's d,d của Cohen,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
complement of event A,Phần bù của biến cố A,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
continuity correction factor,Hệ số hiệu chỉnh liên tục,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
continuous,Liên tục,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
critical value,Giá trị tới hạn,,,,6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
cumulative distribution function (CDF),Hàm phân phối tích lũy (CDF),,,,5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
degrees of freedom,Bậc tự do,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
descriptive statistics,Thống kê mô tả,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
discrete,Rời rạc,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
equal standard deviations,Độ lệch chuẩn bằng nhau,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
error bound,Giới hạn sai số,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
expected values,Giá trị kỳ vọng,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
extrapolation,Ngoại suy,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
F distribution,Phân phối F,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
F ratio,tỷ số F,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
fair,công bằng,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Frequency polygons,đa giác tần số,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
goodness-of-fit test,kiểm định độ phù hợp,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
hypotheses,giả thuyết,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
independent,độc lập,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Independent groups,các nhóm độc lập,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
influential points,điểm có ảnh hưởng,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Institutional Review Boards (IRB),Hội đồng Đánh giá Tổ chức (IRB),,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
interpolation,nội suy,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
interval scale,thang khoảng,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
intervals,khoảng,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Least-Squares Line,đường bình phương nhỏ nhất,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
least-squares regression line,đường hồi quy bình phương nhỏ nhất,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
level of measurement,mức đo lường,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
level of significance,mức ý nghĩa,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Line of Best Fit,đường phù hợp nhất,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
linear regression,hồi quy tuyến tính,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
long-term relative frequency,tần suất tương đối dài hạn,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
lurking variables,biến ẩn,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
margin of error,sai số biên,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
matched pairs,cặp ghép đôi,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
mean square,bình phương trung bình,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
multivariate,đa biến,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
nominal scale,thang danh nghĩa,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
nonsampling errors,sai số không do lấy mẫu,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
normal approximation to the binomial,xấp xỉ chuẩn cho phân phối nhị thức,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Numerical variables,biến số,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
observed values,giá trị quan sát được,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
ordinal scale,thang thứ bậc,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
outliers,ngoại lệ,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Pareto chart,biểu đồ Pareto,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Pearson,Pearson,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
percentiles,phân vị,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
pie chart,biểu đồ tròn,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
population variance,phương sai tổng thể,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
potential outlier,ngoại lệ tiềm năng,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
probability density function,hàm mật độ xác suất,,,,5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
probability distribution function,hàm phân phối xác suất,,,,4,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
quantitative continuous data,dữ liệu định lượng liên tục,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
quantitative discrete data,dữ liệu định lượng rời rạc,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
ratio scale,thang đo tỷ lệ,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
replacement,sự thay thế,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
residual,phần dư,,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
sample mean,trung bình mẫu,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
samples,mẫu,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
sampling,lấy mẫu,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
sampling errors,sai số lấy mẫu,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
sampling variability of a statistic,tính biến thiên của thống kê theo mẫu,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
simple random sample,mẫu ngẫu nhiên đơn giản,,,,9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
simple random sampling without replacement,lấy mẫu ngẫu nhiên đơn giản không hoàn lại,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
standard error,sai số chuẩn,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
standard error of the mean.,sai số chuẩn của trung bình,,,,7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
statistics,thống kê,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
stratified sample,mẫu phân tầng,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Sum of Squared Errors (SSE),Tổng bình phương sai số (SSE),,,,12,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
sum of squares,tổng bình phương,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
systematic sample,mẫu hệ thống,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
test for homogeneity,kiểm định tính đồng nhất,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
test of a single variance,kiểm định phương sai đơn,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
test of independence,kiểm định tính độc lập,,,,11,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
test statistic,thống kê kiểm định,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
The standard deviation,Độ lệch chuẩn,,,,10,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
third quartile,tứ phân vị thứ ba,,,,2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
unfair,không công bằng,,,,3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Variance between samples,Phương sai giữa các mẫu,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Variance within samples,Phương sai trong các mẫu,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
variances,phương sai,,,,13,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
Variation,sự biến thiên,,,,1,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
z -score,điểm z,,,,8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75
z -scores,các điểm z,,,,6,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_term_span,1,0.75

box-and-whisker plot,biểu đồ hộp và râu,,,,2,draft_ai,added from chapter 2 onboarding,onboarding_agent,1,0.9

z-scores,điểm z,,,,6,draft_ai,added from onboarding,onboarding_agent,1,0.9

Degrees of Freedom (df),Mức độ tự do (df),,,,8,draft_ai,added from onboarding,onboarding_agent,1,0.9
Error Bound for a Population Mean (EBM),Giới hạn lỗi cho giá trị trung bình tổng thể (EBM),,,,8,draft_ai,added from onboarding,onboarding_agent,1,0.9
